ID,Prompt,Output_A,Output_B,Fluency_A (1-5),Fluency_B (1-5),Coherence_A (1-5),Coherence_B (1-5),Preference (A/B/Tie),Notes
1,hän on,"hän on varma että <UNK> <UNK> niitä , kuten pystyn <UNK> <UNK> .","hän on ollut professorina työ , on kyllä paljon tulossa kuin eurooppalaisen <UNK> .",2,2,2,2,Tie,"Both models struggle with fragmentation and UNKs."
2,se oli,"se oli kamalaa , joka laajeni <UNK> mccainin <UNK> .",se oli 1800-luvun aikana hyvin .,3,4,2,3,B,"Model B has a simpler, more coherent structure."
3,minä olen,minä olen toisenlainen .,"minä olen varma , että en ole , mutta se on joku <UNK> .",5,4,5,2,A,"Model A is perfect. Model B contradicts itself."
4,he ovat,he ovat tyytyväisiä <UNK> .,he ovat tyytyväisiä toistensa <UNK> kanssa .,3,4,2,3,B,"Model B completes the grammatical structure better."
5,suomen hallitus,"suomen hallitus on keskittynyt <UNK> seurojen <UNK> , <UNK> , <UNK> ja <UNK> ja stora <UNK> <UNK> .",suomen hallitus on <UNK> ja päivitetty .,1,3,1,2,B,"Model A has too many UNKs (>50%)."
6,presidentti sanoi,presidentti sanoi viime vuonna <UNK> <UNK> jälkeen tammikuusta 2007 oli <UNK> prosenttia .,presidentti sanoi nykyisen <UNK> ja <UNK> <UNK> <UNK> <UNK> turun yliopiston <UNK> tutkimuskeskuksesta toteavat .,2,1,2,1,A,"Model B is almost entirely UNKs."
7,poliisi on,poliisi on käyttänyt <UNK> <UNK> eurooppaa <UNK> .,"poliisi on siirtynyt sosiaalisesta <UNK> <UNK> , hp:n <UNK> konsuli kesken , <UNK> ja <UNK> , joka ei <UNK> tai <UNK> ,",2,1,1,1,A,"Both are poor, but A is slightly more readable."
8,tutkijat ovat,"tutkijat ovat <UNK> yhteistyöhön , kaikki <UNK> <UNK> <UNK> .","tutkijat ovat nopeasti <UNK> , joten <UNK> ehdokkaiden <UNK> ja <UNK> <UNK> <UNK> <UNK> .",2,1,1,1,A,"Model B suffers from severe UNK density."
9,tämä on,tämä on ryhtynyt hyvin .,tämä on tehnyt limittäin <UNK> <UNK> <UNK> .,3,1,2,1,A,"Model A verb choice is odd for the subject, but grammatical."
10,siellä oli,"siellä oli vaikuttava vasta <UNK> , kun se syttyi suunnilleen <UNK> , kertoi latvala päivän lopulla .",siellä oli aika <UNK> <UNK> .,4,2,3,1,A,"Model A has a complex, mostly correct sentence structure."
11,nyt on,"nyt on hyvä hetki , että ei sitä ole ollut <UNK> ?",nyt on <UNK> mukaan .,3,2,2,1,A,"Model A forms a question, though phrasing is clunky."
12,ensi vuonna,ensi vuonna <UNK> <UNK> <UNK> helpottaa tiedonkeruuta ja <UNK> .,ensi vuonna päätimme olla <UNK> valmistuksessa .,2,4,2,3,B,"Model B makes logical sense despite tense clash."
13,mutta hän,mutta hän oli jättänyt <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> eli <UNK> kanssa .,mutta hän käveli minut töihin .,1,3,1,4,B,"Model A is incomprehensible. Model B is readable."
14,koska se,"koska se ei välttämättä pääse <UNK> <UNK> , ja siihen sovelletaan sellaisenaan kaikissa jäsenvaltioissa .",koska se ei <UNK> .,5,2,4,1,A,"Model A produces valid EU legal terminology."
15,kun hän,kun hän on <UNK> käsivartensa <UNK> tai <UNK> .,"kun hän itse minulle <UNK> , uni ja <UNK> .",2,2,1,1,Tie,"Both are fragmented and rely heavily on UNKs."
16,jos me,"jos me olemme , on ihan tähän sanoa , oikeastaan se on tullut , että sitä ei ole hyvin <UNK> .",jos me että minua on eri ajassa ku tää <UNK> .,3,1,2,1,A,"Model A is rambling but has recognizable syntax."
