ID,Prompt,Output_A,Output_B,Fluency_A (1-5),Fluency_B (1-5),Coherence_A (1-5),Coherence_B (1-5),Preference (A/B/Tie),Notes
1,प्रधानमंत्री ने,प्रधानमंत्री ने सीईसीए को आज अस्पताल के निकट एक व्यक्ति की गोली मारकर हत्या कर दी ।,प्रधानमंत्री ने उनके खिलाफ परमाणु हथियार फ्रंट ( जेकेएलएफ ) में अन्य को छोड़ दी है ।,4,3,2,1,A,"A: Grammatically sound but semantically strange (PM killing someone). B: Poor grammar (छोड़ दी है improper usage), incoherent meaning"
2,सरकार ने,सरकार ने जम्मू - कश्मीर के पहलगाम के इलाकों में भी गए हैं ।,"सरकार ने कहा था कि हम देखना चाहते हैं , तो वे कह सकते हैं कि क्या उनके कांग्रेसी नेता हैं ।",3,3,2,2,Tie,"A: Grammar issue (सरकार...गए हैं gender mismatch). B: Confusing conditional structure, unclear meaning. Both problematic"
3,पुलिस ने,पुलिस ने उसे गोली मार दी थी ।,पुलिस ने जनमेजय को स्वस्थ करने का आदेश दिया ।,5,4,4,3,A,"A: Perfect grammar, coherent (police shot someone). B: Unusual phrasing स्वस्थ करने का आदेश (order to make healthy)"
4,अधिकारियों ने,अधिकारियों ने बताया कि इन दोनों भाई <UNK> <UNK> ने ही कर लिया ।,अधिकारियों ने बताया कि इस मामले में न्यायमूर्ति बी. आई. १९७१ में शामिल हुए ।,2,3,2,3,B,"A: 2 UNK tokens reduce scores, incomplete sentence. B: Better structure despite some awkwardness"
5,यह एक,यह एक अनूठा संग्रहालय है जो 200 एकड़ का आकार कैसे है ।,यह एक संवेदनशील मुद्दा है ।,3,5,2,5,B,"A: Grammar error (कैसे है doesn't fit). B: Perfect grammar and coherent meaning"
6,वह बहुत,वह बहुत <UNK> की वजह से दुख जाता है ।,वह बहुत से <UNK> बातें मौकों पर थे ।,2,2,2,1,A,"Both have UNK tokens. A: Somewhat understandable structure. B: More incoherent word order"
7,यहां पर,यहां पर आ गई पाबंदी और सट्टेबाजी में छापे मारे गए थे ।,यहां पर <UNK> नगर दास द्वारा चलाई जा रही संस्थान के वकील डी. <UNK> ने पुरस्कार ग्रहण करने पर बात की है,3,2,3,2,A,"A: Coherent (ban and raids). B: Has UNK tokens, run-on structure, less coherent"
8,इस समय,इस समय पूर्व प्रधानमंत्री मनमोहन सिंह और पाकिस्तान ने भी वरिष्ठ नेता पद से इस्तीफा दे दिया ।,इस समय मंगलवार देर रात केवल भारत <UNK> में लगा देते हैं ।,4,2,3,1,A,"A: Good grammar, odd pairing (Manmohan & Pakistan resigning together). B: UNK token, grammatically confused"
9,उन्होंने कहा,उन्होंने कहा कि कश्मीर के किसान पर विचार कर रही है कि वे अपने विदेशी राज्य में एक समान फीस हो सकती,"उन्होंने कहा कि यह भी चमत्कार से कम नहीं है , लेकिन सुप्रीम कोर्ट का कहना है कि देश की परियोजनाओं का",4,4,2,3,B,"A: Incomplete, confusing logic. B: Better flow despite being incomplete at end"
10,लोगों ने,लोगों ने इसके खिलाफ चलने को कम की <UNK> देने का सुझाव दिया ।,लोगों ने २००६ से ही क्यों जारी कर दी ।,2,2,1,2,B,"A: UNK token, grammatical confusion. B: Grammatically awkward but slightly more interpretable"
11,हमें इस,हमें इस तरह की राय न करने के लिए राष्ट्रपति मनमोहन सिंह को बुलाकर <UNK> रहे थे कि वह भारत से कुछ,हमें इस तरह की बेटी और उनके परिवार और समूह के बीच सहयोग के लिए एक अन्य देश के तमाम जिलों को,2,3,1,2,B,"Both incomplete. A: UNK token, confused structure. B: Run-on but more grammatical"
12,आज के,आज के कार्यकाल में भारत - <UNK> के विमानों के डीएम से राज्य में भारत के लोग काफी संख्या में महत्वपूर्ण हैं,आज के गृह में अन्य पर <UNK> को पूरा करना पड़ा ।,2,2,2,1,A,"Both have UNK. A: Confusing but attempts coherent thought. B: More grammatically broken"
13,क्या आप,क्या आप किसी भी नहीं है ।,क्या आप हुए हैं और इस तरह की कोई पहल नहीं की जा सकती ।,2,3,1,2,B,"A: Ungrammatical question-statement mix. B: Better grammatical structure despite awkwardness"
14,जब वह,जब वह अपना साथ देने का कोई फैसला नहीं होगा ।,जब वह तय हो गया जब वे अपनी बर्खास्तगी को ध्यान में रखकर नहीं मिला ।,3,2,2,2,A,"A: Somewhat coherent (when he won't decide to support). B: Redundant जब, confusing structure"
15,अगर हम,"अगर हम हालात के समाधान के लिए सुरक्षा तैयारियां व <UNK> , <UNK> , जेड , <UNK> और <UNK> <UNK> को <UNK>",अगर हम इस पर चिंतित नजर आते हैं ।,1,3,1,3,B,"A: Multiple UNK tokens (>50%), incoherent list. B: Clearer meaning despite some grammatical issues"
16,इसके बाद,इसके बाद ही यह बेहद <UNK> है ।,"इसके बाद सरकार ने घरेलू , १९७६ <UNK> की <UNK> , <UNK> , <UNK> , <UNK> , मुकेश , <UNK> आदि सुरेश",2,1,2,1,A,"A: One UNK but structured. B: Multiple UNK tokens, list format without clear meaning"
