ID,Prompt,Output_A,Output_B,Fluency_A (1-5),Fluency_B (1-5),Coherence_A (1-5),Coherence_B (1-5),Preference (A/B/Tie),Notes
1,प्रधानमंत्री ने,प्रधानमंत्री ने सीईसीए को आज अस्पताल के निकट एक व्यक्ति की गोली मारकर हत्या कर दी ।,प्रधानमंत्री ने उनके खिलाफ परमाणु हथियार फ्रंट ( जेकेएलएफ ) में अन्य को छोड़ दी है ।,3,2,3,2,A,
2,सरकार ने,सरकार ने जम्मू - कश्मीर के पहलगाम के इलाकों में भी गए हैं ।,"सरकार ने कहा था कि हम देखना चाहते हैं , तो वे कह सकते हैं कि क्या उनके कांग्रेसी नेता हैं ।",3,3,3,2,A,
3,पुलिस ने,पुलिस ने उसे गोली मार दी थी ।,पुलिस ने जनमेजय को स्वस्थ करने का आदेश दिया ।,5,3,5,3,A,
4,अधिकारियों ने,अधिकारियों ने बताया कि इन दोनों भाई <UNK> <UNK> ने ही कर लिया ।,अधिकारियों ने बताया कि इस मामले में न्यायमूर्ति बी. आई. १९७१ में शामिल हुए ।,2,4,2,4,B,
5,यह एक,यह एक अनूठा संग्रहालय है जो 200 एकड़ का आकार कैसे है ।,यह एक संवेदनशील मुद्दा है ।,2,5,2,5,B,
6,वह बहुत,वह बहुत <UNK> की वजह से दुख जाता है ।,वह बहुत से <UNK> बातें मौकों पर थे ।,1,1,1,1,Tie,
7,यहां पर,यहां पर आ गई पाबंदी और सट्टेबाजी में छापे मारे गए थे ।,यहां पर <UNK> नगर दास द्वारा चलाई जा रही संस्थान के वकील डी. <UNK> ने पुरस्कार ग्रहण करने पर बात की है,3,4,3,4,B,
8,इस समय,इस समय पूर्व प्रधानमंत्री मनमोहन सिंह और पाकिस्तान ने भी वरिष्ठ नेता पद से इस्तीफा दे दिया ।,इस समय मंगलवार देर रात केवल भारत <UNK> में लगा देते हैं ।,3,3,4,2,A,
9,उन्होंने कहा,उन्होंने कहा कि कश्मीर के किसान पर विचार कर रही है कि वे अपने विदेशी राज्य में एक समान फीस हो सकती,"उन्होंने कहा कि यह भी चमत्कार से कम नहीं है , लेकिन सुप्रीम कोर्ट का कहना है कि देश की परियोजनाओं का",3,4,2,3,B,
10,लोगों ने,लोगों ने इसके खिलाफ चलने को कम की <UNK> देने का सुझाव दिया ।,लोगों ने २००६ से ही क्यों जारी कर दी ।,3,4,2,3,B,
11,हमें इस,हमें इस तरह की राय न करने के लिए राष्ट्रपति मनमोहन सिंह को बुलाकर <UNK> रहे थे कि वह भारत से कुछ,हमें इस तरह की बेटी और उनके परिवार और समूह के बीच सहयोग के लिए एक अन्य देश के तमाम जिलों को,3,4,2,3,B,
12,आज के,आज के कार्यकाल में भारत - <UNK> के विमानों के डीएम से राज्य में भारत के लोग काफी संख्या में महत्वपूर्ण हैं,आज के गृह में अन्य पर <UNK> को पूरा करना पड़ा ।,4,3,3,2,A,
13,क्या आप,क्या आप किसी भी नहीं है ।,क्या आप हुए हैं और इस तरह की कोई पहल नहीं की जा सकती ।,3,3,3,2,A,
14,जब वह,जब वह अपना साथ देने का कोई फैसला नहीं होगा ।,जब वह तय हो गया जब वे अपनी बर्खास्तगी को ध्यान में रखकर नहीं मिला ।,3,3,2,3,B,
15,अगर हम,"अगर हम हालात के समाधान के लिए सुरक्षा तैयारियां व <UNK> , <UNK> , जेड , <UNK> और <UNK> <UNK> को <UNK>",अगर हम इस पर चिंतित नजर आते हैं ।,3,4,2,4,B,
16,इसके बाद,इसके बाद ही यह बेहद <UNK> है ।,"इसके बाद सरकार ने घरेलू , १९७६ <UNK> की <UNK> , <UNK> , <UNK> , <UNK> , मुकेश , <UNK> आदि सुरेश",3,3,2,2,Tie,
