"corpus","hin_news_2019"
"subcorpus","-"
Item,Frequency
"के",417400
".",375142
"में",324300
"की",253645
"है",240716
"को",201336
"से",175324
",",172730
"ने",172108
"और",157998
"का",134690
"कि",129153
"पर",123094
"हैं",100098
"भी",86699
"इस",70020
"नहीं",69110
"कहा",60837
"एक",60825
"लिए",59327
"है।",57110
"कर",55224
"किया",49169
"ही",48236
"था",46149
"गया",42736
"हो",42642
"बाद",38429
"तो",36787
"साथ",34787
"यह",34704
"करने",33470
"रहे",32110
"दिया",31348
"सरकार",30895
"उन्होंने",28672
"लेकिन",27861
"रहा",27602
"हुए",27198
"रही",27197
"ये",26341
"भारत",24770
"तक",24711
"पहले",24345
"''''",23931
"थी",23818
"जा",23749
"गई",23685
"अपने",23119
"हैं।",22832
"(",22106
")",21910
"थे",20975
"लोगों",20553
"अब",20215
"इसके",19829
"कांग्रेस",19765
"जो",18951
"कुछ",18531
"बात",18382
"बीजेपी",18017
"गए",17861
"पुलिस",17851
"साल",17580
"लेकर",17546
"वह",17190
"दी",16671
"वाले",16592
"कई",16468
"होने",16430
"कोई",16344
"पार्टी",16141
"मोदी",15821
"चुनाव",15522
"करते",15494
"वो",15423
"देश",15385
"उन्हें",15159
"?",14888
"उनके",14853
"जब",14633
"अपनी",14308
"दिल्ली",14243
"तरह",14136
"बार",14022
"हुई",13983
"हुआ",13903
"बताया",13284
"पाकिस्तान",13191
"किसी",13069
"बीच",13028
"कोर्ट",12367
"दौरान",12212
"भारतीय",11983
"मामले",11872
"क्या",11851
"सिंह",11779
"लोग",11765
"हम",11693
"दो",11504
"इन",10904
"दोनों",10879
"दिन",10860
"काम",10817
"या",10762
"रुपये",10758
"जाने",10605
"फिल्म",10571
"सभी",10544
"मैं",10519
"फिर",10487
"मंत्री",10264
"वहीं",10136
"सबसे",10115
"खिलाफ",9926
"सकता",9900
"समय",9864
"नेता",9854
"उनकी",9813
"इससे",9480
"यहां",9467
"लिया",9466
"अगर",9319
"था।",9234
"पास",9206
"हालांकि",9191
"करना",9074
"होगा",9055
"ऐसे",9054
"शामिल",9016
"नाम",8987
"मुख्यमंत्री",8848
"प्रधानमंत्री",8831
"टीम",8723
"वाली",8696
"वे",8616
"शुरू",8532
"महाराष्ट्र",8508
"आज",8490
"गांधी",8414
"आ",8360
"जारी",8334
"देने",8300
"राज्य",8188
"प्रदेश",8091
"बहुत",8064
"कम",8041
"आप",8023
"जाता",7956
"मुताबिक",7898
"शिवसेना",7893
"बता",7884
"सकते",7759
"दें",7628
"ओर",7602
"पूर्व",7540
"न",7352
"अलावा",7336
"बारे",7321
"विधानसभा",7291
"चाहिए",7264
"ऐसा",7245
"इसे",7227
"काफी",7187
"किए",7161
"उस",7114
"ज्यादा",7084
"तीन",7074
"पिछले",7074
"वजह",7067
"सामने",7035
"दे",7024
"होता",6972
"‘",6848
"हर",6790
"उसके",6746
"अभी",6741
"रूप",6726
"उसे",6595
"इसी",6540
"कंपनी",6476
"अध्यक्ष",6401
"घर",6372
"अपना",6312
"बनाने",6302
"’",6301
"कारण",6260
":",6219
"कश्मीर",6211
"इसमें",6197
"मीडिया",6157
"सुप्रीम",6134
"पूरी",6130
"क्योंकि",6104
"जबकि",6087
"आने",6082
"उनका",6073
"करोड़",6063
"कहना",6058
"सकती",6053
"पीएम",6002
"विरोध",5958
"आगे",5873
"-",5834
"मुझे",5826
"जाएगा",5821
"प्रदर्शन",5772
"आरोप",5720
"सवाल",5656
"थी।",5645
"ले",5627
"दर्ज",5624
"जनता",5618
"वहां",5614
"खान",5594
"अन्य",5539
"बाहर",5513
"जिसमें",5503
"बयान",5497
"जानकारी",5453
"जांच",5451
"द्वारा",5439
"जहां",5424
"दूसरे",5381
"हूं",5356
"तब",5344
"बड़ी",5333
"तौर",5310
"नरेंद्र",5303
"कहते",5292
"लगा",5260
"फैसला",5234
"नागरिकता",5221
"इसका",5212
"कोशिश",5207
"जैसे",5200
"दिनों",5183
"होती",5156
"बैंक",5154
"लाख",5116
"सुरक्षा",5115
"लोकसभा",5112
"सेना",5096
"महीने",5065
"परिवार",5042
"केंद्र",5040
"आए",5036
"दिए",5013
"भाजपा",5010
"पवार",4995
"होगी",4989
"बंद",4983
"बैठक",4971
"मैच",4966
"चल",4933
"रिपोर्ट",4919
"इसलिए",4908
"सीट",4882
"थे।",4875
"फीसदी",4816
"क्षेत्र",4815
"रन",4808
"कानून",4802
"राष्ट्रपति",4794
"मांग",4780
"जीत",4765
"करीब",4726
"पहली",4720
"2019",4707
"मौत",4682
"दुनिया",4639
"कुमार",4594
"राहुल",4590
"10",4570
"चीन",4567
"करता",4557
"अनुसार",4547
"लगातार",4512
"नेताओं",4506
"इंडिया",4497
"नजर",4488
"इसकी",4474
"शाह",4461
"लिखा",4456
"आई",4451
"आपको",4422
"जगह",4409
"बना",4407
"हमें",4380
"मिल",4379
"नए",4363
"पता",4360
"अधिक",4352
"तहत",4337
"विधायक",4326
"एनसीपी",4316
"जवाब",4316
"पद",4294
"महिला",4288
"ट्वीट",4271
"मिली",4270
"हमारे",4262
"वीडियो",4252
"समर्थन",4238
"घटना",4228
"सिर्फ",4199
"स्थिति",4155
"तरफ",4147
"प्रमुख",4111
"दूसरी",4071
"पांच",4059
"चर्चा",4058
"क्यों",4050
"उत्तर",4049
"यानी",4046
"बड़ा",4017
"पूरे",4001
"5",3998
"आया",3956
"वाला",3953
"बड़े",3916
"रहने",3904
"चुके",3878
"जिसके",3871
"चार",3839
"केंद्रीय",3802
"तैयार",3798
"सीटों",3788
"राजनीतिक",3785
"देशों",3780
"बन",3773
"करें",3768
"करेंगे",3755
"इस्तेमाल",3747
"थीं",3742
"मदद",3735
"जाए",3713
"दावा",3713
"देते",3702
"गया।",3702
"हाल",3696
"लेने",3678
"जिस",3671
"पानी",3664
"सोमवार",3659
"अलग",3653
"शो",3648
"शेयर",3636
"पूरा",3616
"ली",3606
"खुद",3595
"राष्ट्रीय",3571
"उन",3560
"मैंने",3544
"मुंबई",3529
"जाती",3529
"सांसद",3525
"कभी",3512
"हरियाणा",3507
"बजे",3462
"ऐसी",3454
"फैसले",3449
"किया।",3447
"अमित",3438
"क्रिकेट",3434
"मामला",3429
"शुक्रवार",3418
"नई",3417
"मिला",3412
"अधिकारी",3412
"सोशल",3398
"2",3394
"लगाया",3363
"टेस्ट",3353
"सीएम",3338
"सुनवाई",3329
"अक्टूबर",3311
"संशोधन",3306
"सुबह",3306
"मिलने",3295
"रखा",3290
"मेरे",3288
"हमने",3274
"लागू",3271
"उसकी",3270
"पहुंच",3262
"कार्रवाई",3245
"ठाकरे",3229
"होते",3225
"चाहते",3220
"मंगलवार",3219
"वक्त",3196
"हिस्सा",3192
"करती",3181
"यही",3174
"विकास",3166
"मौजूद",3162
"अमेरिका",3154
"स्तर",3137
"बनाया",3137
"आधार",3135
"मंदिर",3132
"गठबंधन",3127
"अधिकारियों",3086
"ऑफ",3078
"मंत्रालय",3078
"जाते",3075
"अदालत",3059
"कुल",3058
"ट्रंप",3052
"लगता",3047
"बातचीत",3046
"बिल",3045
"चुकी",3043
"हासिल",3031
"रात",3029
"कार्यक्रम",3021
"गुरुवार",3019
"देखने",3019
"संख्या",3017
"विभाग",3014
"प्रति",3010
"माना",3010
"आम",3000
"नवंबर",2982
"आदेश",2978
"कैसे",2973
"शुरुआत",2972
"तय",2969
"जाना",2966
"3",2946
"दिया।",2945
"राम",2937
"दल",2936
"बल्कि",2920
"बुधवार",2919
"पेश",2918
"राजनीति",2917
"जम्मू-कश्मीर",2916
"वोट",2905
"15",2901
"शनिवार",2899
"6",2892
"अगले",2886
"रविवार",2883
"दरअसल",2880
"करके",2879
"होना",2872
"मुस्लिम",2869
"वापस",2861
"प्रतिशत",2858
"उसने",2853
"दिसंबर",2826
"हत्या",2819
"इमरान",2818
"रह",2817
"देखा",2804
"केस",2802
"जाएगी",2800
"शर्मा",2795
"वर्ष",2783
"मुलाकात",2780
"याचिका",2770
"विकेट",2766
"झारखंड",2763
"बंगाल",2758
"अयोध्या",2752
"हजार",2748
"सितंबर",2726
"गृह",2723
"की।",2719
"गिरफ्तार",2712
"हिंसा",2698
"चुका",2697
"बच्चों",2694
"महिलाओं",2694
"रखने",2684
"मुख्य",2678
"सरकारी",2678
"अस्पताल",2676
"कप",2675
"बनाए",2666
"बारिश",2659
"सब",2658
"मुद्दे",2649
"इलाके",2648
"खत्म",2647
"योजना",2633
"बिना",2625
"साफ",2621
"फोन",2620
"विधायकों",2617
"होगा।",2616
"सीटें",2614
"बढ़",2609
"उम्मीद",2603
"ना",2600
"चलते",2598
"आर्थिक",2598
"पक्ष",2595
"4",2592
"समेत",2578
"नंबर",2576
"जेल",2569
"लॉन्च",2566
"हमले",2555
"लगे",2535
"जिससे",2535
"राज्यों",2532
"जरिए",2521
"जिले",2517
"बिहार",2517
"हमारी",2507
"हमला",2507
"बने",2493
"विदेश",2490
"शरद",2479
"घोषणा",2476
"पीछे",2467
"होंगे",2465
"व",2463
"20",2462
"छात्रों",2457
"वरिष्ठ",2457
"सलमान",2454
"व्यक्ति",2451
"कीमत",2448
"जरूरत",2446
"बोर्ड",2444
"विवाद",2429
"आग",2424
"अरब",2418
"जल्द",2404
"शहर",2403
"!",2400
"सूत्रों",2398
"हाथ",2394
"बांग्लादेश",2393
"वित्त",2392
"उसका",2391
"संसद",2385
"केवल",2384
"उनसे",2381
"लगी",2377
"लगभग",2374
"हिंदू",2372
"उद्धव",2360
"प्रियंका",2349
"चला",2342
"भारी",2341
"सत्ता",2339
"देना",2333
"पिता",2329
"अच्छा",2319
"ध्यान",2317
"यादव",2317
"बेहद",2314
"पहुंचे",2309
"सही",2303
"मैदान",2302
"स्थित",2302
"पड़ा",2302
"आयोग",2301
"जस्टिस",2297
"संजय",2293
"गांव",2276
"दूर",2275
"12",2268
"प्रशासन",2262
"कह",2261
"जुड़े",2261
"अहम",2260
"11",2254
"ठीक",2250
"शाम",2249
"हार",2244
"विश्व",2242
"बनने",2238
"जी",2233
"30",2230
"8",2216
"मिले",2209
"घंटे",2209
"बाजार",2207
"वालों",2205
"स्थानीय",2205
"भर",2205
"असर",2205
"जिसे",2195
"वर्ल्ड",2194
"फडणवीस",2192
"मौके",2178
"कदम",2176
"नया",2174
"विशेष",2174
"राजधानी",2171
"लग",2161
"स्मार्टफोन",2149
"अर्थव्यवस्था",2147
"बदलाव",2146
"शादी",2146
"नुकसान",2142
"पंजाब",2133
"नेतृत्व",2132
"पत्नी",2129
"इतना",2128
"पाकिस्तानी",2128
"ज़्यादा",2127
"बीते",2126
"बावजूद",2115
"सामना",2101
"मेरी",2101
"पहला",2101
"इनमें",2098
"आरोपी",2097
"खबर",2097
"पश्चिम",2097
"राज्यपाल",2092
"बिग",2088
"निशाना",2086
"गई।",2086
"13",2086
"साबित",2081
"भाई",2078
"तस्वीर",2076
"गुजरात",2072
"संबंध",2069
"संयुक्त",2068
"फिलहाल",2066
"ममता",2059
"रहते",2055
"पूछा",2055
"ऐलान",2053
"मतदान",2052
"स्कूल",2046
"बेहतर",2042
"शपथ",2042
"प्रदूषण",2040
"अंदर",2038
"370",2038
"देखते",2032
"बताते",2031
"किसानों",2027
"खास",2019
"गौरतलब",2017
"आतंकी",2013
"ख़िलाफ़",2010
"खेल",2010
"पत्र",2007
"गंभीर",2005
"छह",2000
"एवं",1999
"टिकट",1999
"असम",1999
"एनआरसी",1994
"डॉलर",1994
"विपक्ष",1993
"शिकायत",1991
"कप्तान",1979
"लगाने",1978
"सीरीज",1973
"कहीं",1970
"7",1970
"बच्चे",1968
"तेल",1962
"बॉस",1960
"कंपनियों",1955
"बेटे",1954
"चीफ",1953
"पैसे",1949
"संविधान",1947
"अजित",1936
"कौन",1927
"राष्ट्र",1921
"हमेशा",1918
"अमरीका",1914
"व्यवस्था",1913
"संगठन",1910
"प्रक्रिया",1906
"1",1902
"9",1899
"मां",1897
"रोक",1896
"सीमा",1895
"बहुमत",1890
"जाएगा।",1887
"बनी",1883
"हाई",1883
"चाहिए।",1881
"समाज",1878
"अधिकार",1875
"भूमिका",1864
"दलों",1859
"उससे",1858
"ताकि",1857
"अलग-अलग",1854
"अगस्त",1853
"सदस्य",1849
"अपील",1846
"अमेरिकी",1844
"देख",1838
"एजेंसी",1837
"50",1834
"छात्र",1834
"हालात",1833
"घायल",1827
"धर्म",1827
"अच्छी",1820
"अंतिम",1819
"वकील",1818
"संघ",1812
"जाएंगे",1809
"उसी",1806
"दर",1800
"पहचान",1799
"यूपी",1790
"मिलकर",1788
"तेजी",1786
"गलत",1784
"गेंद",1782
"पारी",1781
"मामलों",1775
"यात्रा",1775
"आरोपियों",1773
"वायरल",1773
"दिख",1765
"प्रभावित",1760
"देर",1760
"पाया",1760
"आपके",1755
"चुनावी",1753
"रिलीज",1747
"दक्षिण",1747
"लाल",1742
"राजस्थान",1742
"उम्मीदवार",1742
"कमी",1740
"मस्जिद",1734
"कार",1731
"मध्य",1727
"समुदाय",1723
"बनर्जी",1720
"तेज",1720
"जीवन",1718
"डॉक्टर",1714
"निर्माण",1708
"विमान",1708
"रक्षा",1703
"जमीन",1700
"अंतरराष्ट्रीय",1698
"इलाकों",1697
"खराब",1695
"कोहली",1694
"14",1694
"किस",1687
"तरीके",1684
"योगी",1683
"बॉलीवुड",1683
"केजरीवाल",1681
"गए।",1679
"बेटी",1676
"पसंद",1674
"पोस्ट",1672
"विचार",1672
"जैसी",1667
"चाहती",1666
"गिरावट",1665
"प्लान",1658
"लड़की",1656
"25",1653
"चाहता",1651
"बस",1648
"मुश्किल",1648
"मजबूत",1644
"स्थान",1640
"याद",1637
"पड़",1635
"कारोबार",1634
"हिरासत",1634
"सऊदी",1634
"जान",1626
"ऊपर",1623
"मौसम",1619
"मौजूदा",1616
"2014",1616
"क़ानून",1606
"प्याज",1600
"सालों",1599
"2018",1596
"आते",1594
"कहती",1591
"जरूरी",1587
"सके",1586
"सात",1585
"पैदा",1585
"अनुच्छेद",1581
"धोनी",1574
"कपूर",1573
"कराने",1571
"मार्च",1569
"मई",1565
"कराया",1563
"तथा",1563
"होगी।",1562
"रेलवे",1560
"गठन",1560
"दौर",1559
"चुनौती",1559
"तमाम",1558
"जिन",1558
"सेवा",1556
"राहत",1554
"अभियान",1553
"सोनिया",1553
"मोबाइल",1552
"रोहित",1551
"तीनों",1549
"यूनिवर्सिटी",1547
"रखी",1545
"समस्या",1545
"हमारा",1544
"16",1544
"पति",1535
"100",1532
"टीवी",1531
"बाकी",1525
"सम्मान",1522
"राय",1520
"मेरा",1520
"प्रयास",1519
"नागरिक",1510
"मगर",1506
"यदि",1504
"24",1499
"मौका",1499
"ओवर",1498
"करेगी",1494
"संपर्क",1493
"इतिहास",1493
"लगाए",1492
"40",1490
"प्रचार",1489
"कही",1489
"हफ्ते",1488
"संबोधित",1487
"महत्वपूर्ण",1484
"देवेंद्र",1484
"तैयारी",1481
"होकर",1481
"चरण",1476
"निवेश",1476
"दौरे",1474
"स्पष्ट",1474
"उम्र",1466
"बीबीसी",1462
"मिलेगा",1455
"करेगा",1452
"अंक",1452
"चिदंबरम",1450
"उसमें",1449
"सूचना",1448
"मुकाबले",1445
"मुद्दा",1445
"आखिरी",1445
"18",1445
"सेक्टर",1444
"स्वीकार",1442
"उल्लंघन",1441
"हैदराबाद",1441
"दिखाई",1435
"सीबीआई",1435
"सिद्धार्थ",1431
"दूसरा",1430
"निजी",1429
"जम्मू",1427
"दी।",1422
"शानदार",1418
"स्वास्थ्य",1414
"लखनऊ",1414
"मार",1412
"उपलब्ध",1410
"आयोजित",1410
"मतलब",1409
"प्रस्ताव",1407
"छोड़",1405
"पटेल",1404
"बदल",1398
"देकर",1397
"कर्नाटक",1395
"सजा",1392
"ईरान",1391
"श्री",1386
"विपक्षी",1383
"मारे",1383
"प्रवक्ता",1381
"ट्विटर",1378
"नीचे",1377
"कार्ड",1376
"इंग्लैंड",1376
"बढ़ा",1374
"चिंता",1373
"विधेयक",1372
"मोहम्मद",1365
"रेप",1365
"शांति",1365
"सड़क",1363
"कैमरा",1363
"कैबिनेट",1359
"जून",1358
"आता",1357
"नेशनल",1356
"सचिव",1355
"ऑस्ट्रेलिया",1354
"लंबे",1353
"संभावना",1352
"सहित",1349
"विराट",1348
"मुद्दों",1347
"17",1347
"मिनट",1343
"आंदोलन",1340
"भेजा",1340
"सत्र",1335
"आदमी",1333
"राउत",1331
"समिति",1330
"निर्देश",1328
"डेटा",1326
"राज्यसभा",1325
"मानना",1325
"इलाज",1324
"देता",1323
"निर्णय",1320
"नगर",1317
"कार्यकर्ताओं",1316
"परीक्षा",1315
"विदेशी",1312
"हालत",1308
"रैली",1307
"रिकॉर्ड",1306
"तीसरे",1304
"पार",1304
"लेते",1302
"पीड़िता",1301
"लड़ाई",1301
"बढ़ाने",1300
"खड़े",1299
"घोषित",1298
"राजीव",1297
"उनको",1294
"जाकर",1291
"प्रेस",1290
"पार्टियों",1285
"द",1284
"सेल",1283
"जैसा",1283
"आती",1282
"सप्ताह",1281
"शिक्षा",1281
"पूजा",1280
"सुरक्षित",1276
"करनी",1275
"रुपए",1272
"सदन",1269
"जुलाई",1262
"कल",1261
"इनकार",1261
"खिलाड़ी",1261
"कहानी",1259
"भविष्य",1258
"लिये",1257
"दायर",1257
"शख्स",1257
"21",1254
"बनाई",1254
"जिसकी",1252
"दाखिल",1252
"इंटरनेट",1251
"कार्यकाल",1249
"युद्ध",1246
"जनवरी",1245
"माहौल",1245
"तिवारी",1240
"रहती",1239
"2017",1237
"शासन",1235
"एयर",1231
"आतंकियों",1229
"फायदा",1228
"फ़ैसला",1228
"इतनी",1227
"स्टेशन",1225
"हवा",1225
"दबाव",1225
"चुनावों",1220
"जिम्मेदारी",1220
"जिन्होंने",1217
"धारा",1213
"अफ्रीका",1213
"विश्वास",1210
"नीति",1209
"नोटिस",1209
"जनरल",1208
"सदस्यों",1205
"दोबारा",1204
"टैक्स",1202
"जताई",1202
"बनाकर",1201
"छोटे",1199
"मैचों",1199
"विजय",1197
"तुर्की",1195
"किलोमीटर",1195
"सारे",1195
"23",1193
"तभी",1192
"ख़ान",1190
"सार्वजनिक",1188
"जिसका",1188
"कोलकाता",1182
"डर",1180
"प्रत्याशी",1179
"लगाई",1177
"जिनमें",1175
"भर्ती",1174
"हिंदी",1173
"रोकने",1173
"सामान्य",1172
"कड़ी",1172
"खारिज",1171
"मिलता",1169
"लिस्ट",1169
"ट्रेन",1168
"बल्लेबाज",1167
"अनुमति",1166
"भाषा",1159
"रख",1157
"2020",1156
"अच्छे",1155
"भरोसा",1151
"भले",1150
"इस्तीफा",1150
"ग्रुप",1146
"प्रकाश",1145
"खर्च",1142
"%",1141
"आलोचना",1141
"जमकर",1140
"आठ",1140
"एक्ट",1138
"गोली",1138
"युवा",1136
"सांसदों",1134
"अनुमान",1134
"जुड़ी",1134
"बातें",1134
"सहयोगी",1133
"कथित",1133
"शीर्ष",1132
"शायद",1129
"चली",1129
"रोल",1128
"प्रदर्शनकारियों",1126
"समझ",1126
"देखना",1121
"साथ-साथ",1119
"कर्मचारियों",1119
"आतंकवाद",1118
"पूछताछ",1118
"इंडियन",1115
"हादसे",1115
"लाने",1114
"वेबसाइट",1112
"किसान",1111
"गयी",1110
"कॉलेज",1109
"भीतर",1107
"वैसे",1107
"19",1106
"दिशा",1105
"दास",1103
"लक्ष्य",1103
"सफल",1102
"जिन्हें",1102
"अशोक",1102
"अरविंद",1101
"भगवान",1100
"भेज",1100
"करेंगे।",1100
"22",1098
"पैसा",1096
"हों",1096
"कार्यकर्ता",1095
"रद्द",1094
"अमरीकी",1094
"गईं",1094
"हाउस",1089
"लेना",1088
"उठाया",1083
"नतीजे",1083
"बोले",1081
"पा",1081
"भीड़",1080
"ब्रिटेन",1079
"उधर",1078
"दिल",1078
"होटल",1076
"चीनी",1074
"सियासी",1073
"विभिन्न",1072
"बढ़त",1072
"ऑफिस",1071
"रखते",1070
"संकट",1069
"अली",1069
"फोटो",1065
"रहता",1065
"मिशन",1064
"होनी",1064
"महसूस",1064
"अवैध",1061
"यूजर्स",1060
"पाए",1060
"कमाई",1060
"जिला",1058
"सेंटर",1058
"सिस्टम",1054
"मसले",1054
"क्षेत्रों",1054
"बिजली",1053
"परेशान",1052
"डॉ",1051
"चौधरी",1051
"तुरंत",1050
"नियमों",1049
"बजट",1048
"अंत",1046
"लाभ",1046
"देंगे",1045
"व्यापार",1045
"जमा",1044
"सिर्फ़",1044
"फ़ैसले",1043
"संदेश",1042
"शिकार",1041
"जानते",1040
"प्रसाद",1039
"दोपहर",1039
"तुलना",1038
"बिक्री",1037
"विश्वविद्यालय",1036
"आउट",1035
"वही",1034
"फिल्मों",1034
"बचाने",1033
"चले",1031
"वापसी",1031
"डिग्री",1031
"स्वागत",1026
"बैंकों",1023
"रोड",1021
"आधिकारिक",1020
"वृद्धि",1018
"दोषी",1018
"पहुंचा",1018
"राज",1016
"घाटी",1015
"पत्रकार",1012
"जिक्र",1011
"तस्वीरें",1010
"जाएगी।",1010
"पेट्रोल",1009
"जीतने",1009
"प्यार",1008
"शव",1008
"नियम",1008
"अप्रैल",1007
"ग्राहकों",1006
"श्रीलंका",1006
"कर्ज",1005
"ईडी",1004
"स्पीकर",1003
"28",1001
"कॉन्फ्रेंस",1001
"अहमद",1000
"सूची",1000
"सोच",999
"संबंधित",999
"आसान",998
"जवान",998
"जमानत",996
"27",996
"दाम",995
"आखिर",994
"प्राप्त",993
"सड़कों",992
"एंड",992
"कार्य",988
"लिया।",988
"अचानक",987
"धवन",984
"हिसाब",983
"पाई",983
"उनमें",982
"काफ़ी",981
"गांगुली",978
"समारोह",977
"सुधार",977
"ऑपरेशन",977
"खाने",977
"विवादित",976
"शिव",976
"भाग",975
"आसपास",973
"शुरुआती",973
"साउथ",973
"साझा",972
"मन",971
"तैनात",970
"प्रकार",969
"जन्म",967
"अपराध",967
"बहस",966
"दौरा",961
"मुसलमानों",960
"हाथों",959
"महज",958
"प्रतिक्रिया",957
"पड़ता",956
"परिषद",954
"सलाह",954
"सी",953
"हाईकोर्ट",953
"पुराने",953
"पीठ",952
"धार्मिक",952
"मंजूरी",948
"वायु",948
"देती",947
"इनके",947
"उठा",944
"पहुंची",943
"राशि",942
"आयोजन",940
"इंतजार",940
"लगने",938
"पटना",937
"कहां",933
"वर्षों",931
"देखकर",931
"ज़रूरत",931
"नागरिकों",929
"करियर",928
"विकल्प",928
"ख़त्म",927
"वकीलों",924
"चारों",924
"हटाने",924
"31",924
"हिस्सों",922
"हुआ।",922
"जीडीपी",921
"मानते",921
"हूं।",921
"शहरों",921
"रास्ता",921
"बैठे",919
"भाषण",916
"पी",916
"ऐतिहासिक",915
"अमिताभ",914
"महासचिव",914
"रनों",914
"नज़र",914
"आशंका",913
"फांसी",912
"नौकरी",912
"दोस्त",911
"इन्हें",911
"सूरत",911
"सहयोग",911
"कब",910
"सीजन",909
"कितना",908
"पहुंचने",908
"मंच",906
"छूट",906
"अंजाम",906
"जवानों",906
"रंग",905
"दिखाया",904
"मुताबिक़",904
"तनाव",904
"खाते",903
"वक़्त",902
"कटौती",902
"खड़ा",901
"नियंत्रण",900
"पोल",900
"बल",898
"मूल",898
"युवक",897
"पाने",896
"जगहों",895
"विरोधी",895
"खुलासा",895
"रुख",895
"विषय",893
"अफगानिस्तान",892
"किरदार",891
"प्रज्ञा",890
"जाहिर",890
"संपत्ति",889
"क़रीब",884
"एक्टर",884
"हथियार",883
"समझौते",882
"अक्षय",882
"बढ़ने",881
"2016",881
"उपचुनाव",880
"केरल",879
"टिप्पणी",877
"आबादी",876
"मेडिकल",876
"संसदीय",876
"उठाए",875
"26",875
"सपोर्ट",874
"हुई।",873
"पीड़ित",871
"आपकी",870
"वर्तमान",869
"जरूर",868
"आदित्य",868
"पिछली",867
"pro",867
"अजय",867
"रास्ते",867
"खिलाड़ियों",867
"समूह",867
"गाड़ी",866
"शरीर",865
"गाने",864
"रंजन",864
"इतने",863
"मेट्रो",863
"दिग्गज",863
"रहे।",863
"एक्ट्रेस",863
"जल",862
"ख़ुद",861
"फाइनल",860
"संकेत",859
"एनडीए",859
"रूस",858
"नीतीश",857
"मलिक",856
"प्रतिबंध",856
"ग्रहण",856
"पड़ी",856
"ओवैसी",855
"नेहरू",855
"रिजर्व",855
"बिल्कुल",853
"पुष्टि",853
"करार",853
"संघर्ष",852
"मीटिंग",852
"न्याय",852
"माफी",852
"हिंसक",850
"जिंदगी",849
"बहन",849
"जामिया",849
"तापमान",848
"शतक",847
"सेंसेक्स",846
"बल्लेबाजी",846
"आरोपों",845
"आंकड़े",844
"चलता",844
"स्कोर",843
"–",842
"ज्यादातर",841
"करे",840
"टुडे",839
"राव",839
"क्षमता",839
"वनडे",838
"परिजनों",838
"थीं।",837
"फरवरी",837
"घरेलू",836
"कमेटी",836
"सामाजिक",836
"लोकतंत्र",836
"झटका",835
"अवसर",835
"माध्यम",834
"वैश्विक",834
"अकाउंट",834
"चलाने",833
"भोपाल",833
"आदित्यनाथ",832
"बधाई",832
"70",831
"छोड़कर",830
"पाक",829
"सहमति",828
"हटा",828
"न्यूज",826
"रहेगा",824
"लाइन",824
"मिलती",822
"चाहे",822
"ठाकुर",822
"आपने",821
"इसरो",820
"रेट",819
"युवाओं",819
"खरीद",819
"मे",817
"तरफ़",816
"मिलेगी",815
"इंडस्ट्री",815
"सफलता",815
"एक्शन",812
"घरों",811
"आवाज",810
"रखना",808
"ज़मीन",806
"आजतक",806
"बीसीसीआई",805
"दम",804
"विक्रम",803
"रहेंगे",803
"होंगे।",803
"खूब",802
"खेले",800
"खेलने",800
"बनाना",799
"करा",799
"महात्मा",799
"निकल",798
"वर्ग",797
"अक्सर",796
"आकर",796
"सभा",796
"दिवाली",796
"रहना",795
"चौटाला",794
"सीधे",793
"सावरकर",793
"सच",793
"सचिन",792
"दशक",790
"लड़",789
"महिलाएं",788
"टी-20",788
"नतीजों",788
"एनकाउंटर",788
"सीतारमण",787
"धमकी",786
"मुकाबला",785
"भ्रष्टाचार",785
"न्यायालय",785
"ऑटो",784
"फेसबुक",784
"वाहन",784
"आदि",783
"तलाश",782
"समाप्त",782
"साधा",781
"आवास",781
"निगम",781
"खाना",780
"मार्केट",780
"60",780
"मंत्रियों",780
"परिणाम",779
"प्रभाव",778
"उपयोग",778
"आंकड़ों",777
"आतंकवादी",776
"प्रावधान",775
"प्रवेश",773
"निर्मला",773
"जिलों",773
"हिस्से",772
"घटनाओं",771
"डिस्प्ले",770
"सिख",770
"लोन",769
"गोगोई",768
"29",768
"तमिलनाडु",768
"विस्तार",766
"गये",765
"एग्जिट",764
"डोनाल्ड",764
"रणनीति",764
"बच्चन",764
"स्टार",764
"इंटरव्यू",763
"स्पेशल",763
"लेंगे",762
"वायुसेना",762
"मांगी",762
"जज",762
"उठाने",762
"उत्पादन",761
"पढ़ाई",761
"चांद",760
"एसपी",759
