ID,Prompt,Output_A,Output_B,Fluency_A (1-5),Fluency_B (1-5),Coherence_A (1-5),Coherence_B (1-5),Preference (A/B/Tie),Notes
1,hļæ½n on,"hļæ½n on varma ettļæ½ <UNK> <UNK> niitļæ½ , kuten pystyn <UNK> <UNK> .","hļæ½n on ollut professorina tyļæ½ , on kyllļæ½ paljon tulossa kuin eurooppalaisen <UNK> .",2,3,2,4,B,
2,se oli,"se oli kamalaa , joka laajeni <UNK> mccainin <UNK> .",se oli 1800-luvun aikana hyvin .,2,4,3,5,B,
3,minļæ½ olen,minļæ½ olen toisenlainen .,"minļæ½ olen varma , ettļæ½ en ole , mutta se on joku <UNK> .",4,2,5,2,A,
4,he ovat,he ovat tyytyvļæ½isiļæ½ <UNK> .,he ovat tyytyvļæ½isiļæ½ toistensa <UNK> kanssa .,3,3,3,3,Tie,
5,suomen hallitus,"suomen hallitus on keskittynyt <UNK> seurojen <UNK> , <UNK> , <UNK> ja <UNK> ja stora <UNK> <UNK> .",suomen hallitus on <UNK> ja pļæ½ivitetty .,1,3,1,3,B,
6,presidentti sanoi,presidentti sanoi viime vuonna <UNK> <UNK> jļæ½lkeen tammikuusta 2007 oli <UNK> prosenttia .,presidentti sanoi nykyisen <UNK> ja <UNK> <UNK> <UNK> <UNK> turun yliopiston <UNK> tutkimuskeskuksesta toteavat .,2,1,2,1,A,
7,poliisi on,poliisi on kļæ½yttļæ½nyt <UNK> <UNK> eurooppaa <UNK> .,"poliisi on siirtynyt sosiaalisesta <UNK> <UNK> , hp:n <UNK> konsuli kesken , <UNK> ja <UNK> , joka ei <UNK> tai <UNK> ,",2,2,2,2,Tie,
8,tutkijat ovat,"tutkijat ovat <UNK> yhteistyļæ½hļæ½n , kaikki <UNK> <UNK> <UNK> .","tutkijat ovat nopeasti <UNK> , joten <UNK> ehdokkaiden <UNK> ja <UNK> <UNK> <UNK> <UNK> .",2,2,3,2,A,
9,tļæ½mļæ½ on,tļæ½mļæ½ on ryhtynyt hyvin .,tļæ½mļæ½ on tehnyt limittļæ½in <UNK> <UNK> <UNK> .,4,2,5,2,A,
10,siellļæ½ oli,"siellļæ½ oli vaikuttava vasta <UNK> , kun se syttyi suunnilleen <UNK> , kertoi latvala pļæ½ivļæ½n lopulla .",siellļæ½ oli aika <UNK> <UNK> .,3,3,3,2,A,
11,nyt on,"nyt on hyvļæ½ hetki , ettļæ½ ei sitļæ½ ole ollut <UNK> ?",nyt on <UNK> mukaan .,2,2,3,3,Tie,
12,ensi vuonna,ensi vuonna <UNK> <UNK> <UNK> helpottaa tiedonkeruuta ja <UNK> .,ensi vuonna pļæ½ļæ½timme olla <UNK> valmistuksessa .,1,4,1,4,B,
13,mutta hļæ½n,mutta hļæ½n oli jļæ½ttļæ½nyt <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> eli <UNK> kanssa .,mutta hļæ½n kļæ½veli minut tļæ½ihin .,1,4,1,4,B,
14,koska se,"koska se ei vļæ½lttļæ½mļæ½ttļæ½ pļæ½ļæ½se <UNK> <UNK> , ja siihen sovelletaan sellaisenaan kaikissa jļæ½senvaltioissa .",koska se ei <UNK> .,4,3,4,2,A,
15,kun hļæ½n,kun hļæ½n on <UNK> kļæ½sivartensa <UNK> tai <UNK> .,"kun hļæ½n itse minulle <UNK> , uni ja <UNK> .",2,2,3,2,A,
16,jos me,"jos me olemme , on ihan tļæ½hļæ½n sanoa , oikeastaan se on tullut , ettļæ½ sitļæ½ ei ole hyvin <UNK> .",jos me ettļæ½ minua on eri ajassa ku tļæ½ļæ½ <UNK> .,4,4,3,2,A,
