ID,Prompt,Output_A,Output_B,Fluency_A (1-5),Fluency_B (1-5),Coherence_A (1-5),Coherence_B (1-5),Preference (A/B/Tie),Notes
1,hän on,"hän on varma että <UNK> <UNK> niitä , kuten pystyn <UNK> <UNK> .","hän on ollut professorina työ , on kyllä paljon tulossa kuin eurooppalaisen <UNK> .",,,,,,
2,se oli,"se oli kamalaa , joka laajeni <UNK> mccainin <UNK> .",se oli 1800-luvun aikana hyvin .,,,,,,
3,minä olen,minä olen toisenlainen .,"minä olen varma , että en ole , mutta se on joku <UNK> .",,,,,,
4,he ovat,he ovat tyytyväisiä <UNK> .,he ovat tyytyväisiä toistensa <UNK> kanssa .,,,,,,
5,suomen hallitus,"suomen hallitus on keskittynyt <UNK> seurojen <UNK> , <UNK> , <UNK> ja <UNK> ja stora <UNK> <UNK> .",suomen hallitus on <UNK> ja päivitetty .,,,,,,
6,presidentti sanoi,presidentti sanoi viime vuonna <UNK> <UNK> jälkeen tammikuusta 2007 oli <UNK> prosenttia .,presidentti sanoi nykyisen <UNK> ja <UNK> <UNK> <UNK> <UNK> turun yliopiston <UNK> tutkimuskeskuksesta toteavat .,,,,,,
7,poliisi on,poliisi on käyttänyt <UNK> <UNK> eurooppaa <UNK> .,"poliisi on siirtynyt sosiaalisesta <UNK> <UNK> , hp:n <UNK> konsuli kesken , <UNK> ja <UNK> , joka ei <UNK> tai <UNK> ,",,,,,,
8,tutkijat ovat,"tutkijat ovat <UNK> yhteistyöhön , kaikki <UNK> <UNK> <UNK> .","tutkijat ovat nopeasti <UNK> , joten <UNK> ehdokkaiden <UNK> ja <UNK> <UNK> <UNK> <UNK> .",,,,,,
9,tämä on,tämä on ryhtynyt hyvin .,tämä on tehnyt limittäin <UNK> <UNK> <UNK> .,,,,,,
10,siellä oli,"siellä oli vaikuttava vasta <UNK> , kun se syttyi suunnilleen <UNK> , kertoi latvala päivän lopulla .",siellä oli aika <UNK> <UNK> .,,,,,,
11,nyt on,"nyt on hyvä hetki , että ei sitä ole ollut <UNK> ?",nyt on <UNK> mukaan .,,,,,,
12,ensi vuonna,ensi vuonna <UNK> <UNK> <UNK> helpottaa tiedonkeruuta ja <UNK> .,ensi vuonna päätimme olla <UNK> valmistuksessa .,,,,,,
13,mutta hän,mutta hän oli jättänyt <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> eli <UNK> kanssa .,mutta hän käveli minut töihin .,,,,,,
14,koska se,"koska se ei välttämättä pääse <UNK> <UNK> , ja siihen sovelletaan sellaisenaan kaikissa jäsenvaltioissa .",koska se ei <UNK> .,,,,,,
15,kun hän,kun hän on <UNK> käsivartensa <UNK> tai <UNK> .,"kun hän itse minulle <UNK> , uni ja <UNK> .",,,,,,
16,jos me,"jos me olemme , on ihan tähän sanoa , oikeastaan se on tullut , että sitä ei ole hyvin <UNK> .",jos me että minua on eri ajassa ku tää <UNK> .,,,,,,
